Description,Department
Non-functional drinking water tap in park,Parks and Recreation
Road widening needed due to congestion,Road Maintenance
Bus stop lacks proper seating,Public Transportation
Damaged sewage pipeline requires urgent repair,Sewage
Auto-rickshaws overcharging passengers,Public Transportation
Power outage since last night,Electrical Department
Dead animal carcass needs removal,Sanitation
Lack of garbage bins in market area,Sanitation
Power outage since last night,Electrical Department
Tree branches touching live wires,Electrical Department
Water tanker delays in summer season,Water Supply
Damaged foot overbridge needs maintenance,Public Transportation
Lack of covered drainage near schools,Sewage
Damaged fencing in public playground,Parks and Recreation
Plastic waste choking drainage system,Sanitation
Bus stop lacks proper seating,Public Transportation
Unauthorized electrical connections detected,Electrical Department
Damaged fencing in public playground,Parks and Recreation
Short circuit risk in public park,Electrical Department
Crowded buses causing inconvenience,Public Transportation
Sewage water mixing with drinking water,Sewage
Transformer sparking near residential area,Electrical Department
Dead animal carcass needs removal,Sanitation
Plastic waste choking drainage system,Sanitation
Fountain in park not working,Parks and Recreation
Manhole cover missing on busy street,Road Maintenance
Train station escalator not working,Public Transportation
Garbage pileup causing foul smell,Sanitation
Illegal speed bumps causing accidents,Road Maintenance
Bus stop lacks proper seating,Public Transportation
Power outage since last night,Electrical Department
Low water pressure in residential colony,Water Supply
Overflowing public dustbin needs clearance,Sanitation
Train station escalator not working,Public Transportation
Illegal water connections reducing supply,Water Supply
Damaged foot overbridge needs maintenance,Public Transportation
Broken bus stop shelter needs repair,Public Transportation
No drinking water supply since morning,Water Supply
Plastic waste choking drainage system,Sanitation
Short circuit risk in public park,Electrical Department
Overgrown weeds in public park,Parks and Recreation
Dead animal carcass needs removal,Sanitation
Road erosion after heavy rains,Road Maintenance
Choked sewer causing overflow on roads,Sewage
Damaged foot overbridge needs maintenance,Public Transportation
Non-functional traffic signals at junction,Public Transportation
Auto-rickshaws overcharging passengers,Public Transportation
Overgrown weeds in public park,Parks and Recreation
Overgrown weeds in public park,Parks and Recreation
Public transport delays during peak hours,Public Transportation
Dead animal carcass needs removal,Sanitation
Overflowing public dustbin needs clearance,Sanitation
Manhole overflowing during rains,Sewage
Damaged curb creating safety concern,Road Maintenance
Broken bus stop shelter needs repair,Public Transportation
Public transport delays during peak hours,Public Transportation
Public transport delays during peak hours,Public Transportation
Manhole cover missing on busy street,Road Maintenance
No borewell maintenance in rural areas,Water Supply
Park benches broken and unusable,Parks and Recreation
Construction waste blocking footpath,Sanitation
Illegal water connections reducing supply,Water Supply
Public tap broken in slum area,Water Supply
Pipeline leakage wasting huge amount of water,Water Supply
Water tanker delays in summer season,Water Supply
Train station escalator not working,Public Transportation
Lack of dustbins in park area,Parks and Recreation
Burning trash causing air pollution,Sanitation
Power outage since last night,Electrical Department
Overflowing public dustbin needs clearance,Sanitation
Broken jogging track needs resurfacing,Parks and Recreation
Burning trash causing air pollution,Sanitation
Damaged electric pole leaning dangerously,Electrical Department
Fountain in park not working,Parks and Recreation
Construction waste blocking footpath,Sanitation
Exposed live wire on footpath,Electrical Department
Damaged sewage pipeline requires urgent repair,Sewage
Low water pressure in residential colony,Water Supply
Park benches broken and unusable,Parks and Recreation
E-rickshaws blocking main roads,Public Transportation
Damaged curb creating safety concern,Road Maintenance
Plastic waste choking drainage system,Sanitation
Exposed live wire on footpath,Electrical Department
Low water pressure in residential colony,Water Supply
Short circuit risk in public park,Electrical Department
Train station escalator not working,Public Transportation
E-rickshaws blocking main roads,Public Transportation
Damaged fencing in public playground,Parks and Recreation
Stray animals scavenging on open garbage,Sanitation
Cracked pavement causing trip hazard,Road Maintenance
Metro station water leakages reported,Public Transportation
Lack of covered drains near schools,Sewage
Lack of covered drainage near schools,Sewage
Children’s playground equipment damaged,Parks and Recreation
Fountain in park not working,Parks and Recreation
Lack of covered drains near schools,Sewage
Street dogs creating nuisance in parks,Parks and Recreation
Unauthorized electrical connections detected,Electrical Department
Stray animals scavenging on open garbage,Sanitation
Transformer sparking near residential area,Electrical Department
Public tap broken in slum area,Water Supply
Public transport delays during peak hours,Public Transportation
Non-functional drinking water tap in park,Parks and Recreation
Construction waste blocking footpath,Sanitation
Train station escalator not working,Public Transportation
Lack of dustbins in park area,Parks and Recreation
Plastic waste choking drainage system,Sanitation
Metro station water leakages reported,Public Transportation
Dead animal carcass needs removal,Sanitation
E-rickshaws blocking main roads,Public Transportation
Plastic waste choking drainage system,Sanitation
Dead animal carcass needs removal,Sanitation
Lack of garbage bins in market area,Sanitation
No borewell maintenance in rural areas,Water Supply
High-mast light not functioning,Electrical Department
Unattended biomedical waste near clinic,Sanitation
Auto-rickshaws overcharging passengers,Public Transportation
Non-functional drinking water tap in park,Parks and Recreation
Contaminated water supply in apartments,Water Supply
Illegal speed bumps causing accidents,Road Maintenance
Burning trash causing air pollution,Sanitation
Foul smell from open sewage line,Sewage
Lack of dustbins in park area,Parks and Recreation
Overgrown weeds in public park,Parks and Recreation
E-rickshaws blocking main roads,Public Transportation
Power outage since last night,Electrical Department
Choked sewer causing overflow on roads,Sewage
Children’s playground equipment damaged,Parks and Recreation
Overflowing public dustbin needs clearance,Sanitation
Damaged electric pole leaning dangerously,Electrical Department
Garbage pileup causing foul smell,Sanitation
Sewage water mixing with drinking water,Sewage
Damaged foot overbridge needs maintenance,Public Transportation
Short circuit risk in public park,Electrical Department
Auto-rickshaws overcharging passengers,Public Transportation
Tree branches touching live wires,Electrical Department
Damaged fencing in public playground,Parks and Recreation
Choked sewer causing overflow on roads,Sewage
Stray animals scavenging on open garbage,Sanitation
No drinking water supply since morning,Water Supply
Illegal water connections reducing supply,Water Supply
Manhole overflowing during rains,Sewage
Crowded buses causing inconvenience,Public Transportation
Sewage leakage near residential complex,Sewage
Short circuit risk in public park,Electrical Department
Damaged curb creating safety concern,Road Maintenance
Exposed live wire on footpath,Electrical Department
E-rickshaws blocking main roads,Public Transportation
Sewage leakage near residential complex,Sewage
Streetlight flickering at night,Electrical Department
Lack of tree plantation in parks,Parks and Recreation
Damaged fencing in public playground,Parks and Recreation
Damaged curb creating safety concern,Road Maintenance
Broken jogging track needs resurfacing,Parks and Recreation
Non-functional traffic signals at junction,Public Transportation
High-mast light not functioning,Electrical Department
Train station escalator not working,Public Transportation
Damaged sewage pipeline requires urgent repair,Sewage
Water tanker delays in summer season,Water Supply
Crowded buses causing inconvenience,Public Transportation
Pipeline leakage wasting huge amount of water,Water Supply
Faded zebra crossing needs repainting,Road Maintenance
Foul smell from open sewage line,Sewage
Non-functional traffic signals at junction,Public Transportation
No borewell maintenance in rural areas,Water Supply
Illegal speed bumps causing accidents,Road Maintenance
Non-functional traffic signals at junction,Public Transportation
Exposed live wire on footpath,Electrical Department
Road erosion after heavy rains,Road Maintenance
Short circuit risk in public park,Electrical Department
High-mast light not functioning,Electrical Department
Sewage leakage near residential complex,Sewage
Drainage overflow damaging road surface,Road Maintenance
Damaged curb creating safety concern,Road Maintenance
Non-functional drinking water tap in park,Parks and Recreation
Sewage leakage near residential complex,Sewage
E-rickshaws blocking main roads,Public Transportation
Metro station water leakages reported,Public Transportation
High-mast light not functioning,Electrical Department
Manhole overflowing during rains,Sewage
Children’s playground equipment damaged,Parks and Recreation
Construction debris blocking the road,Road Maintenance
Lack of garbage bins in market area,Sanitation
Water pipeline work delaying road repair,Water Supply
Damaged curb creating safety concern,Road Maintenance
Garbage pileup causing foul smell,Sanitation
Train station escalator not working,Public Transportation
Foul smell from open sewage line,Sewage
Non-functional drinking water tap in park,Parks and Recreation
Damaged fencing in public playground,Parks and Recreation
Lack of dustbins in park area,Parks and Recreation
Drainage overflow damaging road surface,Road Maintenance
Pothole damaging vehicles near main road,Road Maintenance
Cracked pavement causing trip hazard,Road Maintenance
Children’s playground equipment damaged,Parks and Recreation
Frequent voltage fluctuations in apartments,Electrical Department
Bus stop lacks proper seating,Public Transportation
Damaged electric pole leaning dangerously,Electrical Department
Pothole damaging vehicles near main road,Road Maintenance
Dead animal carcass needs removal,Sanitation
Public tap broken in slum area,Water Supply
Damaged curb creating safety concern,Road Maintenance
Crowded buses causing inconvenience,Public Transportation
Public tap broken in slum area,Water Supply
Lack of covered drainage near schools,Sewage
Bus stop lacks proper seating,Public Transportation
Short circuit risk in public park,Electrical Department
Lack of covered drainage near schools,Sewage
Stray animals scavenging on open garbage,Sanitation
Blocked drainage causing waterlogging,Sewage
Pipeline leakage wasting huge amount of water,Water Supply
Lack of garbage bins in market area,Sanitation
Damaged fencing in public playground,Parks and Recreation
Streetlight flickering at night,Electrical Department
